,team1,team2,Ground,date,Series,toss_winner,first_batting,match_winner,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank
47,New Zealand,Pakistan,"Arbab Niaz Stadium, Peshawar", Nov 4 1990, New Zealand tour of Pakistan at Peshawar,1,1,2,101,101,15,60,39,79,29,101,94,63,101,101,51,101,101,91,101,74,101,33,96,25,101,101,31,88,101,101,101,101,101,101,53,55,101,101,101,61,88,38,97,6,101,70
48,Pakistan,New Zealand,"Jinnah Stadium, Sialkot", Nov 6 1990, New Zealand tour of Pakistan at Sialkot,2,1,1,31,88,101,101,101,101,101,101,101,101,101,101,53,53,101,101,101,62,96,5,101,70,101,101,15,60,39,79,30,101,91,61,51,101,101,100,101,90,101,75,101,34,99,25
49,Pakistan,West Indies,"National Stadium, Karachi", Nov 9 1990, West Indies tour of Pakistan at Karachi,1,1,1,31,87,101,101,101,101,12,80,101,101,21,15,101,101,101,62,88,33,96,4,101,101,2,101,50,101,9,101,28,101,101,101,32,40,38,101,46,5,76,1,89,8,80,6
50,West Indies,Pakistan,"Gaddafi Stadium, Lahore", Nov 11 1990, West Indies tour of Pakistan at Lahore,1,1,2,8,101,2,101,10,101,50,101,28,101,49,5,31,40,38,101,101,77,76,1,89,8,32,83,101,101,101,101,12,81,101,101,20,15,101,101,101,60,87,38,96,4,101,101
51,Pakistan,West Indies,"Ibn-e-Qasim Bagh Stadium, Multan", Nov 13 1990, West Indies tour of Pakistan at Multan,1,1,1,45,67,32,83,101,101,101,101,101,101,19,15,101,101,101,55,86,31,71,21,94,4,8,101,2,101,11,101,51,101,30,101,29,35,101,87,101,76,101,101,88,8,80,5
52,Australia,New Zealand,Sydney Cricket Ground, Nov 29 1990, Benson & Hedges World Series at Sydney,2,1,1,14,101,9,101,1,96,13,47,68,101,18,35,101,101,54,12,55,101,101,11,101,27,33,101,7,101,15,60,31,101,39,77,47,101,101,101,101,101,101,62,100,33,97,25
53,New Zealand,England,Adelaide Oval, Dec 1 1990, Benson & Hedges World Series at Adelaide,2,1,1,33,101,7,101,17,62,38,77,101,101,47,101,101,101,101,82,101,57,101,31,98,22,27,101,100,101,23,101,5,101,93,101,62,101,101,69,94,13,101,26,101,41,101,53
54,India,Sri Lanka,"Vidarbha C.A. Ground, Nagpur", Dec 1 1990, Sri Lanka tour of India at Nagpur,2,1,1,16,101,34,24,50,101,12,74,74,101,101,101,101,101,70,12,76,101,91,21,101,58,37,101,68,89,30,70,11,50,20,43,101,101,63,25,101,30,101,101,101,101,101,48
55,New Zealand,Australia,Adelaide Oval, Dec 2 1990, Benson & Hedges World Series at Adelaide,1,1,2,33,101,7,101,17,62,37,78,98,101,48,101,101,90,101,65,101,55,101,33,99,20,9,101,15,101,1,98,11,47,63,101,18,36,101,101,53,14,55,101,101,9,101,2
56,Sri Lanka,India,"Nehru Stadium, Pune", Dec 5 1990, Sri Lanka tour of India at Pune,2,1,2,38,101,101,101,30,72,14,50,18,43,70,26,101,101,101,101,101,30,100,51,101,47,34,24,16,101,50,101,11,75,58,101,101,101,71,12,76,101,101,62,91,21,101,61
57,New Zealand,England,"W.A.C.A. Ground, Perth", Dec 7 1990, Benson & Hedges World Series at Perth,1,1,2,33,101,7,101,17,64,31,101,38,78,49,101,101,88,101,70,101,56,101,25,101,19,80,101,48,101,30,101,5,101,70,101,67,101,101,59,93,10,101,101,101,41,101,101
58,India,Sri Lanka,"Nehru Stadium, Fatorda, Margao", Dec 8 1990, Sri Lanka tour of India at Margao,1,1,2,34,25,18,101,53,101,13,76,50,101,101,101,71,13,79,101,92,21,101,58,101,67,38,101,101,101,29,72,10,51,17,45,101,101,101,101,69,23,101,43,97,50,101,101
59,England,Australia,"W.A.C.A. Ground, Perth", Dec 9 1990, Benson & Hedges World Series at Perth,1,1,2,80,101,46,101,26,101,6,101,61,101,101,60,66,101,92,11,101,82,101,40,101,90,15,101,9,101,1,99,13,48,64,101,19,37,81,33,101,101,56,101,101,7,101,2
60,Australia,New Zealand,Melbourne Cricket Ground, Dec 11 1990, Benson & Hedges World Series at Melbourne,2,1,1,9,101,16,101,1,100,101,101,12,48,68,101,20,32,80,36,53,101,97,33,101,2,14,62,34,101,32,101,37,77,101,101,101,82,101,101,101,66,101,50,99,23,98,20
61,England,New Zealand,Sydney Cricket Ground, Dec 13 1990, Benson & Hedges World Series at Sydney,2,1,1,5,54,47,101,30,101,4,101,76,101,52,101,101,53,101,79,94,24,101,33,101,74,10,64,34,101,101,83,37,78,101,101,101,101,101,90,101,61,101,46,99,23,101,20
62,England,New Zealand,"Brisbane Cricket Ground, Woolloongabba, Brisbane", Dec 15 1990, Benson & Hedges World Series at Brisbane,2,1,2,4,56,47,101,28,101,6,101,75,101,49,101,101,51,56,16,101,32,101,61,101,71,8,64,34,101,7,101,92,101,37,78,101,101,101,85,101,55,101,42,100,21,101,20
63,Australia,England,"Brisbane Cricket Ground, Woolloongabba, Brisbane", Dec 16 1990, Benson & Hedges World Series at Brisbane,1,1,1,18,101,7,101,1,100,20,34,72,93,101,101,13,50,81,33,56,101,101,8,101,29,5,56,48,101,6,101,46,101,30,101,75,101,49,16,101,79,93,24,101,28,101,71
64,New Zealand,Australia,"Bellerive Oval, Hobart", Dec 18 1990, Benson & Hedges World Series at Hobart,2,1,1,9,65,32,101,10,101,37,79,101,76,79,101,84,101,101,52,101,41,100,23,101,18,7,101,18,101,20,34,72,84,53,101,1,99,101,101,15,50,77,33,101,3,101,24
65,Pakistan,Sri Lanka,Sharjah Cricket Stadium, Dec 20 1990, Sri Lanka tour of United Arab Emirates at Sharjah,2,1,2,30,89,101,101,15,83,101,101,18,14,101,101,45,3,101,101,91,33,93,4,101,101,101,101,101,101,25,72,11,54,16,43,38,101,101,101,67,17,101,34,101,41,101,84
66,Pakistan,Sri Lanka,Sharjah Cricket Stadium, Dec 21 1990, Sri Lanka tour of United Arab Emirates at Sharjah,2,1,1,32,89,101,101,15,84,101,101,18,14,101,101,47,2,101,101,101,57,89,26,88,3,101,101,101,101,11,54,16,43,29,73,101,101,101,101,71,21,101,32,101,37,101,63
67,Bangladesh,India,"Sector 16 Stadium, Chandigarh", Dec 25 1990, Asia Cup at Chandigarh,1,1,2,101,101,101,101,101,101,101,101,101,101,101,101,101,101,86,101,101,101,101,101,101,101,82,99,14,101,54,101,101,101,50,101,101,101,67,12,79,101,101,100,101,101,101,64
68,Sri Lanka,India,"Barabati Stadium, Cuttack", Dec 28 1990, Asia Cup at Cuttack,1,1,1,101,101,101,101,23,74,12,54,16,43,39,101,101,101,71,18,101,35,100,49,101,64,14,101,36,28,50,101,13,78,55,101,101,101,68,12,76,101,101,86,101,58,101,96
69,Sri Lanka,Bangladesh,"Eden Gardens, Kolkata", Dec 31 1990, Asia Cup at Kolkata,1,1,1,101,101,101,101,23,73,11,54,16,43,101,32,39,101,101,101,101,35,99,45,101,101,101,101,101,101,101,101,101,101,101,101,92,101,101,101,101,101,101,101,101,101,101,101
70,Sri Lanka,India,"Eden Gardens, Kolkata", Jan 4 1991, Asia Cup at Kolkata,2,1,2,99,101,101,101,23,74,12,54,14,43,39,101,101,91,72,20,101,29,101,35,101,66,36,31,15,101,45,101,50,101,11,79,101,101,70,12,76,101,101,86,101,58,101,73
71,Australia,England,Melbourne Cricket Ground, Jan 10 1991, Benson & Hedges World Series at Melbourne,1,1,1,20,101,7,101,1,98,17,44,52,74,19,32,101,101,48,101,58,11,101,9,101,4,3,55,29,101,46,101,43,101,35,101,75,101,53,16,97,14,96,63,95,22,101,64
72,New Zealand,Australia,Sydney Cricket Ground, Jan 13 1991, Benson & Hedges World Series at Sydney,1,1,2,9,66,101,101,32,101,10,101,37,80,79,101,71,101,101,75,101,50,101,40,100,21,7,101,39,101,1,99,20,101,53,67,19,32,101,101,47,101,57,9,101,3,101,27
73,New Zealand,Australia,Melbourne Cricket Ground, Jan 15 1991, Benson & Hedges World Series at Melbourne,1,1,2,11,67,101,101,33,101,8,101,38,80,62,101,75,101,101,36,101,72,101,50,100,23,35,101,7,101,1,99,19,101,52,64,20,32,101,101,47,101,56,9,101,4,101,21
74,Sri Lanka,New Zealand,"McLean Park, Napier", Jan 26 1991, Sri Lanka tour of New Zealand at Napier,2,1,2,85,101,101,101,23,73,13,52,15,42,40,101,101,87,101,41,101,29,72,15,101,30,93,101,32,101,12,68,9,100,55,101,31,101,101,74,101,57,101,32,101,20,101,16
75,New Zealand,Sri Lanka,"Eden Park, Auckland", Jan 28 1991, Sri Lanka tour of New Zealand at Auckland,2,1,1,83,101,33,101,11,68,7,89,54,101,31,101,101,73,101,56,101,49,101,25,101,14,87,101,101,101,21,74,15,53,14,42,40,101,71,16,101,87,101,41,101,31,101,30
76,New Zealand,Sri Lanka,"Carisbrook, Dunedin", Feb 6 1991, Sri Lanka tour of New Zealand at Dunedin,2,1,1,12,65,73,101,7,89,37,79,31,101,50,101,101,73,101,25,101,52,101,22,101,14,86,101,101,101,21,71,15,54,13,41,101,101,101,87,101,42,71,17,101,30,101,48
77,England,New Zealand,"AMI Stadium, Christchurch", Feb 9 1991, England tour of New Zealand at Christchurch,1,1,1,5,50,30,101,101,101,3,101,28,101,40,101,67,101,51,15,92,58,99,26,95,19,12,66,33,101,9,89,35,79,34,101,52,101,90,73,101,51,101,48,101,22,101,10
78,New Zealand,England,"Basin Reserve, Wellington", Feb 13 1991, England tour of New Zealand at Wellington,2,1,1,73,101,33,101,15,66,7,86,37,77,94,58,50,101,101,101,101,49,101,21,101,11,5,48,96,101,31,101,3,101,24,101,41,101,72,101,54,15,86,55,93,16,101,60
79,New Zealand,England,"Eden Park, Auckland", Feb 16 1991, England tour of New Zealand at Auckland,2,1,1,16,66,67,101,6,86,37,77,36,101,81,55,45,101,101,70,101,21,101,44,101,12,5,46,85,101,32,101,3,101,24,101,42,101,54,14,70,101,98,15,92,16,101,58
80,Australia,West Indies,"Sabina Park, Kingston, Jamaica", Feb 26 1991, Australia tour of West Indies at Kingston,1,1,1,19,101,8,101,1,97,17,43,44,62,20,30,48,101,56,8,93,22,101,56,101,23,10,101,2,101,9,101,28,34,5,35,25,101,53,6,38,101,101,38,80,1,83,5
81,Australia,West Indies,"Queen's Park Oval, Port of Spain, Trinidad", Mar 9 1991, Australia tour of West Indies at Port of Spain,2,1,1,20,101,8,101,1,96,19,43,43,62,18,28,47,101,57,8,93,19,101,50,101,24,40,92,2,101,11,101,29,35,6,36,25,101,38,101,54,7,101,74,81,1,101,31
82,Australia,West Indies,"Queen's Park Oval, Port of Spain, Trinidad", Mar 10 1991, Australia tour of West Indies at Port of Spain,1,1,2,8,101,36,101,1,96,43,62,19,45,18,27,46,101,57,12,93,19,101,50,101,23,44,84,2,101,9,101,10,101,25,101,101,101,29,35,38,101,81,1,101,28,101,31
83,Australia,West Indies,"Kensington Oval, Bridgetown, Barbados", Mar 13 1991, Australia tour of West Indies at Bridgetown,1,1,1,37,101,4,101,1,96,17,47,39,59,19,23,43,101,93,18,57,13,101,43,101,25,44,83,2,101,9,101,11,101,8,38,25,101,30,34,38,101,53,7,77,1,84,5
84,West Indies,Australia,"Bourda, Georgetown, Guyana", Mar 20 1991, Australia tour of West Indies at Georgetown,1,1,2,41,81,2,101,9,101,11,101,8,38,25,101,32,35,38,101,101,31,85,5,101,29,3,101,20,101,1,94,15,49,39,57,19,27,43,101,57,12,93,17,101,33,101,43
85,West Indies,England,"Edgbaston, Birmingham", May 23-24 1991, West Indies tour of England at Birmingham,2,1,2,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
